image,sender_id,kids,filepath,label_Blazer,label_Dress,label_Hat,label_Hoodie,label_Longsleeve,label_Outwear,label_Pants,label_Polo,label_Shirt,label_Shoes,label_Shorts,label_Skirt,label_T-Shirt,gender_female,gender_unisex
ea7b6656-3f84-4eb3-9099-23e623fc1018,148,False,images_compressed/ea7b6656-3f84-4eb3-9099-23e623fc1018.jpg,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True
ea2ffd4d-9b25-4ca8-9dc2-bd27f1cc59fa,43,False,images_compressed/ea2ffd4d-9b25-4ca8-9dc2-bd27f1cc59fa.jpg,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True
3b86d877-2b9e-4c8b-a6a2-1d87513309d0,189,False,images_compressed/3b86d877-2b9e-4c8b-a6a2-1d87513309d0.jpg,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
5d3a1404-697f-479f-9090-c1ecd0413d27,138,False,images_compressed/5d3a1404-697f-479f-9090-c1ecd0413d27.jpg,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True
b0c03127-9dfb-4573-8934-1958396937bf,138,False,images_compressed/b0c03127-9dfb-4573-8934-1958396937bf.jpg,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
4c8f245e-a039-46fd-a6b9-1bb51e83fc05,226,False,images_compressed/4c8f245e-a039-46fd-a6b9-1bb51e83fc05.jpg,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True
c995c900-693d-4dd6-8995-43f3051ec488,337,False,images_compressed/c995c900-693d-4dd6-8995-43f3051ec488.jpg,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
bf78527f-0734-44fd-a968-f6c32c12d61e,175,False,images_compressed/bf78527f-0734-44fd-a968-f6c32c12d61e.jpg,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
70045b01-b350-4918-be74-2f627290ad7a,95,False,images_compressed/70045b01-b350-4918-be74-2f627290ad7a.jpg,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False
61bbb3a2-2ee0-47bd-b3f9-2675b3076302,293,False,images_compressed/61bbb3a2-2ee0-47bd-b3f9-2675b3076302.jpg,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
08215318-faff-4037-bee9-5bceb0af7747,29,False,images_compressed/08215318-faff-4037-bee9-5bceb0af7747.jpg,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
95609fcf-b2c2-4f35-8454-a308262e30ea,185,False,images_compressed/95609fcf-b2c2-4f35-8454-a308262e30ea.jpg,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True
5dcffea5-5111-4397-b9ed-313b41bdeea8,211,False,images_compressed/5dcffea5-5111-4397-b9ed-313b41bdeea8.jpg,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True
1b2ace0a-382e-4b87-8e9d-35cbcfac636b,186,False,images_compressed/1b2ace0a-382e-4b87-8e9d-35cbcfac636b.jpg,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
d44cfac9-3fda-47ba-8eb1-8b130f60b08c,217,False,images_compressed/d44cfac9-3fda-47ba-8eb1-8b130f60b08c.jpg,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False
97074b7f-706a-4c17-b875-bd9baa5bed0e,128,False,images_compressed/97074b7f-706a-4c17-b875-bd9baa5bed0e.jpg,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
